,Saudi Arabia,United Arab Emirates,Qatar,Oman,Kuwait,Bahrain
,Riyadh,Dubai,Doha,Dhofar,Capital,Capital
,Mecca,Abu Dhabi,Rayyan,Musandam,Al Jahra,Al Muharraq
,Al Madinah,Sharjah,Umm Salal,Al Buraimi,Al Farwaniyah,Al Shamal
,Al Qassim,Umm Al Quwain,Al Khor,Al Dakhiliyah,Hawalli,Al Janubiya
,Eastern Region,Ajman,Al Wakrah,Northern Al Batinah,Mubarak Al Kabeer,
,Asir,Ras Al Khaimah,Al Jamaliyah,South Al Batinah,Al Ahmadi,
,Tabuk,Fujairah,Musay'id,Northern Eastern Province,,
,Hail,,Jaryan Al Batinah,Southeastern Province,,
,Northern Province,,Al Shimal,Al Dhahirah,,
,Jazan,,Al Ghwayriyah,Al Wusta,,
,Najran,,,Muscat,,
,Al Bahah,,,,,
,Al Jawf,,,,,